연번,수송일자,호선,고유역번호(외부역코드),역명,승하차구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
117,2022-02-28,2,218,종합운동장,승차,52,169,489,682,482,354,308,281,282,459,346,343,471,559,369,201,203,133,56,0
118,2022-02-28,2,218,종합운동장,하차,30,227,310,596,332,318,250,288,286,291,348,372,518,790,545,317,290,325,133,0
119,2022-03-01,2,218,종합운동장,승차,29,73,65,112,178,208,190,193,256,403,290,293,295,203,180,117,88,83,27,0
120,2022-03-01,2,218,종합운동장,하차,33,132,91,124,156,179,121,194,220,263,247,306,297,214,246,191,182,197,92,0
121,2022-03-02,2,218,종합운동장,승차,77,219,583,833,643,432,301,363,295,362,350,461,482,669,347,209,699,180,43,0
122,2022-03-02,2,218,종합운동장,하차,34,420,548,949,365,379,219,362,299,265,323,402,655,1246,662,341,292,334,118,0
123,2022-03-03,2,218,종합운동장,승차,43,184,599,795,513,343,288,470,366,338,322,433,515,682,338,460,208,131,44,0
124,2022-03-03,2,218,종합운동장,하차,43,235,610,859,389,236,190,274,290,264,298,401,529,962,620,337,282,389,120,0
125,2022-03-04,2,218,종합운동장,승차,56,164,597,780,512,310,281,430,445,339,352,492,543,666,307,207,200,155,74,0
126,2022-03-04,2,218,종합운동장,하차,38,227,568,833,364,289,237,287,332,320,403,393,542,866,561,306,280,401,180,0
127,2022-03-05,2,218,종합운동장,승차,35,82,106,240,299,245,285,284,384,410,366,645,587,289,209,150,109,102,44,0
128,2022-03-05,2,218,종합운동장,하차,33,169,184,241,266,245,209,391,459,670,422,357,391,280,254,217,208,200,200,0
129,2022-03-06,2,218,종합운동장,승차,24,59,72,157,203,216,195,260,395,406,320,347,457,286,199,115,101,60,54,0
130,2022-03-06,2,218,종합운동장,하차,20,102,101,184,161,243,171,345,335,416,249,280,285,312,216,179,168,148,117,0
131,2022-03-07,2,218,종합운동장,승차,56,203,607,812,560,329,264,324,395,465,318,459,526,660,332,239,199,210,83,0
132,2022-03-07,2,218,종합운동장,하차,38,281,657,1075,407,298,207,289,358,307,320,366,517,902,606,316,261,277,162,0
133,2022-03-08,2,218,종합운동장,승차,49,177,583,845,542,364,284,355,402,410,330,462,610,689,382,425,419,176,65,0
134,2022-03-08,2,218,종합운동장,하차,33,245,624,897,453,345,199,302,294,290,354,385,628,1032,608,357,279,323,228,0
135,2022-03-09,2,218,종합운동장,승차,29,62,105,173,214,226,214,257,316,347,354,391,376,244,243,421,440,124,46,0
136,2022-03-09,2,218,종합운동장,하차,33,91,96,155,226,194,168,342,309,327,348,402,446,625,249,221,211,171,131,0
137,2022-03-10,2,218,종합운동장,승차,54,183,610,840,543,374,427,562,799,617,655,760,878,819,587,380,2978,6835,128,0
138,2022-03-10,2,218,종합운동장,하차,34,222,659,1075,473,632,611,976,1334,1897,2267,2721,3629,1981,775,474,448,524,174,0
139,2022-03-11,2,218,종합운동장,승차,45,185,585,768,517,333,305,328,483,417,369,506,620,727,356,576,437,135,79,0
140,2022-03-11,2,218,종합운동장,하차,39,224,560,811,338,269,251,315,340,346,420,489,765,1266,658,364,291,279,252,0
141,2022-03-12,2,218,종합운동장,승차,37,70,116,226,269,345,566,680,836,870,979,1141,840,509,658,5042,5394,148,87,0
